country,lat,lon,website,place_type
IT,41.9297356,12.5229875,ristorantemaestrale.com,Facility
IT,45.7441804,8.5152576,villaprofessional.it,Commerce
IT,43.8947503,10.2261863,hotelmariotti.com,Facility
IT,40.8574348,14.2531307,pasticceriapoppella.com,Commerce
IT,40.8215931,14.1826073,edenlandia.it,Facility
IT,44.6341641,8.4517747,relaisborgodelgallo.com,Facility
IT,45.3099154,10.8177578,gruppodemar.it,Facility
IT,40.3439626,18.1674766,museoferroviariodellapuglia.it,Facility
IT,43.8175059,7.7773096,studiomartinisanremo.it,Commerce
IT,45.0719316,8.990251,circuitotazionuvolari.it,Unknown
IT,37.7904088,14.8400147,sciarapistacchio.com,Facility
IT,46.4293803,11.3427159,gardenparadise.it,Commerce
IT,41.8831935,12.3796226,giornoenotte.net,Commerce
IT,45.438863,10.7016756,hotel-garden.it,Facility
IT,46.5569762,11.7598633,tyrolhotel.it,Facility
IT,45.9731587,9.1818693,locandagarzola.it,Facility
IT,45.5678788,10.0608231,tanghettisalotti.com,Commerce
IT,46.684545,11.0736259,schreibmaschinenmuseum.com,Facility
IT,43.1297028,12.047068,motonauticacarli.it,Commerce
IT,43.3478282,11.280014,rangersbattistolli.it,Commerce
IT,45.5037393,9.2241052,tipografiaalimentare.it,Facility
IT,45.6784212,9.0681748,golfclublazzate.it,Facility
IT,46.4782954,12.6085904,regolavigo.org,Facility
IT,40.4965581,17.2403844,alfarotaranto.it,Facility
IT,45.7901205,9.972618,sebinocars.com,Commerce
IT,43.6292323,13.4008259,nerodiseppia-falconara.it,Facility
IT,43.4702556,11.8659567,compro-oro-arezzo.it,Commerce
IT,46.671223,11.2037572,prinzrudolf.com,Facility
IT,43.2977055,13.4536205,farmaciapetracci.it,Commerce
IT,45.440887,12.3244331,aiduefanali.com,Facility
IT,38.0281198,13.9821625,campingsanfilippo.com,Facility
IT,40.749587,14.6325139,caffepetruccelli.it,Facility
IT,45.4678068,9.1920792,casadelmanzoni.it,Facility
IT,44.3614476,9.1396851,hotelelena.it,Facility
IT,41.8992384,12.4997954,hoteldemetracapitolina.it,Facility
IT,46.4719257,11.2607899,gutentropfen.com,Facility
IT,45.6098138,9.384067,eurotachigrafo.it,Commerce
IT,45.5404951,9.0767283,vitadacani.org,Facility
IT,43.7719032,11.2615109,newbridgepizza.com,Facility
IT,45.6344201,13.0469626,hotelaristonbibione.it,Facility
IT,41.8539305,12.4143007,sanpaolodellacroce.org,Facility
IT,43.5972085,13.5169937,labotte1986.it,Facility
IT,43.6069333,13.5036467,otticamancini.com,Commerce
IT,45.5854859,12.490511,anticofigher.com,Facility
IT,45.0796721,7.6828817,larusnenta.com,Facility
IT,41.8862261,12.5318935,ciclipigneto.it,Commerce
IT,45.4950485,9.669218,labassanina.it,Facility
IT,40.3556744,18.1890953,hobbyfloralecce.it,Commerce
IT,45.5835207,9.2899711,clinvetmonza.it,Commerce
IT,44.510081,9.6291997,centrosportivomontepelpi.it,Facility
IT,42.778149,12.4202776,hoteltuder.com,Facility
IT,44.1001171,9.7384955,ristorantefuorirotta.com,Facility
IT,40.3464825,18.17274,urbanoasishostel.com,Facility
IT,46.5427519,12.1359326,hotelnatale.it,Facility
IT,46.3480951,11.3000127,hotelmarkushof.it,Facility
IT,46.3277272,9.4501759,acquafrisia.com,Commerce
IT,40.9429992,15.6861457,paternosterwine.it,Commerce
IT,45.4933403,12.613537,hotel-sirenetta.it,Facility
IT,45.5430029,10.2179525,idudelacontrada.it,Facility
IT,45.6879417,10.7560947,agricampeggiolagodigarda.eu,Facility
IT,45.8285207,8.5594172,anticomaniero.com,Facility
IT,45.3731431,8.9992041,farmaciaviscontea.it,Commerce
IT,42.1034122,12.1752291,studioprometheus.net,Facility
IT,40.0005001,18.0299046,baiadigallipoli.com,Facility
IT,42.7246677,13.6622793,experiencebellavita.com,Facility
IT,42.4761376,14.1986319,sestosensoparrucchieri.com,Facility
IT,38.0431614,12.6246131,alfrantoiovalderice.it,Facility
IT,41.0324873,9.5231235,boomerangcharter.com,Commerce
IT,46.6420683,11.1469686,burggraeflerhof.it,Facility
IT,43.6680245,10.7279265,bebilmoscondoro.it,Facility
IT,45.7029463,9.0891052,invenadivino.com,Commerce
IT,43.9611058,12.7492191,teatrodellaregina.it,Facility
IT,38.1078007,13.380759,sanpaolopalace.it,Facility
IT,45.7388405,7.3243284,trattoriailboccio.com,Facility
IT,46.9005289,11.9416726,muehlenerhof.com,Facility
IT,46.7183256,11.6541214,stoffundfaden.com,Commerce
IT,45.7109571,9.6548248,trattoriaparietti.it,Facility
IT,45.7715178,13.6238086,marepineta.com,Facility
IT,43.8974657,10.2331694,pardiniparrucchieri.it,Facility
IT,43.5458126,10.3044738,borgoburger.it,Facility
IT,45.6510909,13.7802489,hotelistria.com,Facility
IT,43.6136546,13.5056592,ristorantecineseorientale.it,Facility
IT,42.4789971,14.203687,haibinpescara.it,Facility
IT,44.3604751,11.7243168,nitrocolor.it,Commerce
IT,41.0709445,14.362889,santangelosportvillage.com,Facility
IT,43.0955089,13.4959209,farmacialucasimonelli.it,Commerce
IT,40.632629,15.8134627,fireflyaudio.it,Commerce
IT,41.7026272,14.4647747,calicerosso.it,Facility
IT,45.593688,11.0894611,malgavazzo.it,Facility
IT,45.8731247,10.8778546,hotelvillaalberta.it,Facility
IT,45.6303831,9.330777,decimopizzabistrot.it,Facility
IT,45.6609888,13.0996549,hotelpresidentlignano.com,Facility
IT,41.8323304,12.4167349,abitaresrlroma.com,Commerce
IT,45.7580035,11.7331261,betasoftware.it,Commerce
IT,45.6885839,13.1409845,ristoranteatmosphera.it,Facility
IT,45.6430216,9.1395847,immobiliare04.it,Commerce
IT,44.8313166,11.6194018,laboratorioapertoferrara.it,Facility
IT,43.317421,11.3517312,ateneodelladanza.it,Facility
IT,44.640859,10.91307,modenacoworking.it,Commerce
IT,40.6047702,17.2348572,photolandiacrispiano.it,Commerce
IT,45.4909009,12.2501694,iltimonepizzeria.it,Facility
IT,45.4969371,9.2051185,anticaosteriadelprogresso.com,Facility
